Run	Sample	Dataset	Table	Hypoxia_state	Cell_type_new	Cell_type	Cell_type_details	Extended_details	Stimulation	Therapy	Modification	Diagnosis	GSM	Sorting_markers	Comment	Cell_origin	Rna_extraction_kit	Library_preparation_kit	Cells_isolation_kit	Donor_id	Gender	Age	Age_range	PMID	Material_type	Layout	Readcounts	To_check	QC_bad	QC_good	QC_score	Who_checks	Decision	Expression_comment	Run_id	Sample_id	Run_tiledb_id	Sample_tiledb_id	Spike_in	Response	Material_sampling_time	Only for target (CR type)	Prior_surgery	Adverse_event	Diagnosis_comment	Stage	Combo_class	Measurement_method	Race/Ethnicity	UMI (Only for target)	Deconvolution_cell_type	Filter_tag	Filter_tag
SRR10402084	SRX7101479	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stimulated with hypoxia 	Without_therapy	Without_modification	Healthy	GSM4150589			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	18161542				5.833333				50809	37010	50443	36650											Caucasian		Fibroblasts		
SRR10402085	SRX7101480	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stimulated with hypoxia 	Without_therapy	Without_modification	Healthy	GSM4150590			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	19840798				5.833333				50810	37011	50444	36651											Caucasian		Fibroblasts		
SRR10402086	SRX7101481	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stimulated with hypoxia 	Without_therapy	Without_modification	Healthy	GSM4150591			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	15152935				5.833333				50800	37001	50434	36641											Caucasian		Fibroblasts		
SRR10402087	SRX7101482	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stumulated with hypoxia and TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150592			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	15552982				5.833333				50805	37006	50439	36646											Caucasian		Fibroblasts		
SRR10402088	SRX7101483	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stumulated with hypoxia and TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150593			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	17642094				5.833333				50806	37007	50440	36647											Caucasian		Fibroblasts		
SRR10402089	SRX7101484	GSE139963	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	HPF_fibroblast		Stumulated with hypoxia and TGFb1 	Without_therapy	Without_modification	Healthy	GSM4150594			Lung	Tri Reagents	TruSeq Stranded mRNA (illumina)		1	M	74		31925944	polyA RNA	PAIRED	15334315				5.833333				50807	37008	50441	36648											Caucasian		Fibroblasts		
SRR1686010	SRX790916	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM1556296		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	PAIRED	23459362				7				29741	22810	29741	22813													Fibroblasts		
SRR1686011	SRX790917	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM1556297		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	PAIRED	24896151				7				29740	22809	29740	22812													Fibroblasts		
SRR1686012	SRX790918	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM1556298		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	PAIRED	22689658				7				29739	22808	29739	22811													Stromal_cells		
SRR1686013	SRX790919	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM1556299		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	PAIRED	23234009				7				29738	22807	29738	22810													Stromal_cells		
SRR6819106	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3111342				7				48724	35393	48370	35044													Fibroblasts		
SRR6819101	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3113753				7				48725	35393	48371	35044													Fibroblasts		
SRR6819097	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3111148				7				48726	35393	48372	35044													Fibroblasts		
SRR6819100	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3114081				7				48727	35393	48373	35044													Fibroblasts		
SRR6819103	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3118782				7				48728	35393	48374	35044													Fibroblasts		
SRR6819099	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3105704				7				48729	35393	48375	35044													Fibroblasts		
SRR6819104	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3105869				7				48730	35393	48376	35044													Fibroblasts		
SRR6819098	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2084031				7				48731	35393	48377	35044													Fibroblasts		
SRR6819105	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3112572				7				48732	35393	48378	35044													Fibroblasts		
SRR6819102	SRX3776009	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034449		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3115262				7				48733	35393	48379	35044													Fibroblasts		
SRR6819117	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3024467				6.708333				48734	35394	48380	35045													Fibroblasts		
SRR6819118	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3022557				7				48735	35394	48381	35045													Fibroblasts		
SRR6819116	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3024060				7				48736	35394	48382	35045													Fibroblasts		
SRR6819119	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3019461				6.708333				48737	35394	48383	35045													Fibroblasts		
SRR6819113	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3016461				7				48738	35394	48384	35045													Fibroblasts		
SRR6819114	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3021948				7				48739	35394	48385	35045													Fibroblasts		
SRR6819107	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3020181				7				48740	35394	48386	35045													Fibroblasts		
SRR6819109	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3020704				6.708333				48741	35394	48387	35045													Fibroblasts		
SRR6819110	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3024882				7				48742	35394	48388	35045													Fibroblasts		
SRR6819108	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3024484				7				48743	35394	48389	35045													Fibroblasts		
SRR6819115	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3026946				7				48744	35394	48390	35045													Fibroblasts		
SRR6819111	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	1827157				6.416667				48745	35394	48391	35045													Fibroblasts		
SRR6819112	SRX3776010	GSE111570	Cells_to_check	Hypoxia	Fibroblasts_hypoxic	Fibroblasts	Endometrial stromal fibroblast	hTERT-immortalized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034450		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	3021975				7				48746	35394	48392	35045													Fibroblasts		
SRR6819120	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2975289				6.708333				48747	35395	48393	35046													Stromal_cells		
SRR6819128	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2978562				6.708333				48748	35395	48394	35046													Stromal_cells		
SRR6819124	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2973213				6.708333				48749	35395	48395	35046													Stromal_cells		
SRR6819125	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2969718				6.708333				48750	35395	48396	35046													Stromal_cells		
SRR6819127	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2978721				6.708333				48751	35395	48397	35046													Stromal_cells		
SRR6819130	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2975905				6.708333				48752	35395	48398	35046													Stromal_cells		
SRR6819121	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2978499				6.708333				48753	35395	48399	35046													Stromal_cells		
SRR6819126	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2977428				6.708333				48754	35395	48400	35046													Stromal_cells		
SRR6819131	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2970059				6.708333				48755	35395	48401	35046													Stromal_cells		
SRR6819123	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2916561				6.708333				48756	35395	48402	35046													Stromal_cells		
SRR6819129	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2975384				6.708333				48757	35395	48403	35046													Stromal_cells		
SRR6819122	SRX3776011	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034451		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2974971				6.708333				48758	35395	48404	35046													Stromal_cells		
SRR6819141	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2980413				6.708333				48759	35396	48405	35047													Stromal_cells		
SRR6819137	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2986178				6.708333				48760	35396	48406	35047													Stromal_cells		
SRR6819139	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2984601				6.708333				48761	35396	48407	35047													Stromal_cells		
SRR6819135	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2977488				6.708333				48762	35396	48408	35047													Stromal_cells		
SRR6819138	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2988512				6.708333				48763	35396	48409	35047													Stromal_cells		
SRR6819142	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2982940				6.708333				48764	35396	48410	35047													Stromal_cells		
SRR6819140	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2982498				6.708333				48765	35396	48411	35047													Stromal_cells		
SRR6819136	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2984752				6.708333				48766	35396	48412	35047													Stromal_cells		
SRR6819134	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	302684.7				5.541667				48767	35396	48413	35047													Stromal_cells		
SRR6819132	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2982694				6.708333				48768	35396	48414	35047													Stromal_cells		
SRR6819133	SRX3776012	GSE111570	Cells_to_check	Hypoxia	Stromal_cells_hypoxic	Stromal_cells	Decidual stromal cells	hTERT-immortalized, in vitro decidualized	Hour_24_of_Hypoxia	No_data	Without_modification	Myoma	GSM3034452		cell line: CRL-4003	Endometrium	RNeasy mini kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		CRL-4003	F	Adult		32272449	polyA RNA	SINGLE	2989264				6.708333				48769	35396	48415	35047													Stromal_cells		
