	Supposed_GOI	FGES_source	Genes	Link
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	Macrophages	MSigDb_Dif_Expression	CYB561D1, HILPDA, TRIAP1, SYTL1, UBE2NL, RBM14, CD52, LINC01010, CENPV, UNK, PON1, MATK, HM13, XPO4, MTAP, ATP5MK, RMDN2, NIP7, SLC30A5, AIMP2, TMEM91, ACTR6, ATXN10, DPPA5P4, GNPNAT1, MYBBP1A, MYL11, ACADM, FH, NIBAN1, CIB1, CDC26, TEFM, MEIS1, MAGEA5P, LNPK, TMC6, TMEM38B, CDH11, NMNAT2, CDK7, AGXT2, RAB23, CALN1, SLC25A25, SLC35A2, ENTHD1, NOP56, NUS1, ZNF407-AS1, NDUFA5, LINC00968, TAP2, TOR1B, BLOC1S4, SLC22A4, DHX29, RANBP3L, LONRF3, BCCIP, MRPL39, C2orf74, ADAL, CFAP47, ADARB1, LINC00592, CYLC2, COX7A2, LAYN, MCTS1, FUT3, APOBEC4, ATIC, TMCO3, DNAJC24, SCO1, IQCF5, RHOF, XIRP2, SMCO4, CDC27, PTPN1, STX4, LINC02893, FAM131A, MRPS26, MUC2, CTNNAL1, ACER3, DUS2, CMAS, ARL1, UBA2, BPNT2, PTCD2, SIGLEC6, DGUOK, ACSS3, PAPSS1, PHLPP2, PMAIP1, BRF2, TTC8, LRP6, MDGA2, ZBTB21, C1orf54, RASAL2, GMPS, BFAR, KLK7, SYVN1, STAG3, SSBP3, ELOC, HMGB3P1, FBXO15, B3GLCT, LARP1B, SLC50A1, ECH1, ZFAND6, TFB2M, IPP, MYO1E, AARSD1, ALKBH6, TAOK3, GALNT12, METTL22, CRLS1, DCUN1D5, SPSB1, SIGLEC17P, KBTBD8, SLC25A15, SRPRA, LTV1, CEP57L1, TIMM21, CYP1A1, SUSD2, C1orf109, PSMA4, PIP4K2C, FAM78B, JMJD6, LINC03043, LINC00667, TUBE1, FLNB, ASB14, CRIPT, ACTN1, RRS1, MESD, SRPRB, RYR3, DEFB132, DERL2, CCAR2, SLX9, MRPS18C, EBNA1BP2, CADM2, SLC22A5, TMEM69, COX6B2, DERL1, HOXB6, ASB5, COPZ1, PSMC3, NMB, KNSTRN, UCHL5, HOXC11, NAT1, LINC03007, E2F6, LINC01348, ITGB1, FAM13B, MAPK6, LINC02483, RHOBTB2, SPATS2, FYN, MBLAC1, LYPLA1, SNAPC5, COX7B, SLC25A35, PUS1, PRIM1	MSigDb_Dif_Expression
MACROPHAGES_M1_FANTOM_3_XCELL	Macrophages	xCell	KCNJ1, KIFC3, PHLDB1, ABCD1, IGSF6, P2RX7, HAMP, MSR1, CMKLR1, HEXB, SIGLEC1, KCNJ5, SDS, CD80, ATP6V1A, MAPK13, TMEM70, TIE1, CCL1, GPD1, SLC1A2, MFSD7, CYP19A1, FANCE, CCL19, ADO, SLC6A12, C1QB, CCL22, CCL8, HYAL2, ADCY3, CLEC4E, CD300C, LILRB4, FPR3, CD63, CD163, MARCO, C1QA, CYC1, SLAMF8, MYOF, KCNK13, CSF1, ALCAM, ADAMDEC1, VSIG4, MS4A4A, LILRB1, CHIT1, TMEM33, CCL18, ANXA2, DNASE2B, TREM2, S100A11, GLRX2, MMP19, HSPB7, MYBPH, ADCK2, ATP6V1H, EMILIN1, CSF1R, SLC11A1, LONP1, CCL24, FPR2, MYOZ1, FDX1, CCL7, CYBB, MT2A, C3AR1, SLC31A1, ADRA2B, ACP2, NCAPH, SRC, TBC1D16, DAGLA	PMID: 29141660
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_DN	Macrophages	MSigDb_Dif_Expression	SUSD3, BOD1L1, SLC41A1, NAT8L, SAYSD1, GPLD1, EPOR, REN, KRT72, GNB3, ECI1, PPP1R7, DGKZ, CASP8, SORT1, RHBDL3, TAF1C, ANGPTL3, TEX264, SYNE3, NEURL2, BMP5, MEGF9, LRRC39, KLF13, KLF7, TOMM7, RUNX2, GNGT2, PLXNB2, RIMS3, SNX11, TMEM42, ADGRL2, PEX11A, HEBP1, ANAPC13, ABHD3, NEGR1, SIRPB1, MAP3K8, MAFB, SENP6, PUM1, NLRP10, KIAA0232, SLC39A1, LEFTY2, FSD1, HNRNPL, EIF4G3, KCNQ3, RAB5C, MYLIP, BHLHE40, EXTL1, UBC, BZW2, BOK, FAM53B, DMXL2, REEP5, IRAK1, ANGPTL4, BRD4, FRK, TMEM150B, C19orf12, ABHD12, MCTS1, RALY, WASF2, SLC27A1, GPR4, UGT2B17, ASPA, BLVRA, HPCAL1, SLC7A13, SPIC, ALKBH3, ITGAV, STARD5, DMKN, HDAC5, CFHR1, EXOC3L1, TMEM243, DYNLT1, C11orf54, GPSM3, LIPA, ACAA1, CRYBB1, GPN3, CPT1A, GPCPD1, TVP23A, TLE1, LPCAT3, PLIN2, KHDRBS1, DNAJB14, TREML4, NATD1, QKI, NDUFV1, PAQR9, AATF, TRO, HES2, TRIM65, DNAH5, ARHGAP39, GZMM, RANBP3, EXOC3L4, TPRG1L, SLC3A2, KAT14, MMD, AGPAT3, SASH3, RNF5, ANO3, NR1H3, CANT1, TIAM2, ECH1, TECPR2, CDC123, SLCO2B1, OLFML3, MADD, GGA1, RAB29, TRNAU1AP, SPAG7, PARL, ITPK1, FAM222B, LPIN2, OTOF, CMPK1, SYNE2, ABHD15, VCAM1, UBE2G2, SHISA9, PRRC2A, ACO1, ASB4, MED30, HCRTR2, RAB39A, SPEN, MGST2, ARFGAP1, MARF1, LIMA1, CD82, SLC26A6, ADPGK, EXOSC5, ADGRE1, PCSK4, NXF3, ATP13A3, TPRA1, TENT2, RBM47, TXNRD2, UBALD1, CHTF8, RAB3B, M6PR, SREBF1, ISX, DYRK2, APOC1, MARK2, RDH10, SAMD4A, ARHGAP32, SNX10, CETN1, ADRA2B, HESX1, MNT, CDKAL1, ZKSCAN5, NUAK1, MAPKAPK2, HADHB, ACAA2, GNA12, PRRG3, TALDO1, MERTK, COA8	MSigDb_Dif_Expression
GSE5589_UNSTIM_VS_45MIN_LPS_STIM_MACROPHAGE_DN	Macrophages	MSigDb_Dif_Expression	ZNHIT3, HAGH, WDR26, GOSR2, PHLDB1, HBA2, DCTN2, RTN3, USP13, ARHGAP33, GMFG, GPR158, C19orf44, TOR2A, UBXN6, SLC35F6, COCH, UPF2, NCOR2, SIPA1, SSH1, MGAT4B, ABHD4, STT3A, MEGF9, SNX32, ACTL10, UCHL1, UBAP1, CORO7, COA8, IER5, CLDN7, CITED2, NDUFA7, COQ7, ARMCX6, STRC, ANAPC13, VPS51, ADORA3, THOC3, SLC35A2, SLC16A9, BHLHA15, KRTAP2-4, KLHL24, MFAP3, SCARB1, RRP1, ANKRD2, HNRNPA2B1, DCXR, EIF4G3, PDCD4, KCNQ3, OPA3, BHLHE40, OR10AD1, CLEC4G, CACNG5, IRAK1, EMC7, ATP4A, ALDOA, WBP1, NOP10, TNFRSF17, MFSD13A, GDE1, ARHGAP23, POLR2K, RNF185, TEF, HAPSTR1, SKP1, TMEM35B, XAB2, DCAF11, MON1A, TMED4, NDUFA8, HINT1, BTNL2, PDXDC1, RANBP17, GRHL2, PCYT2, HDAC5, AHCYL2, SHANK1, MAN2A2, NFXL1, ZNF526, MRPS21, EIF4EBP2, CDK10, SSB, SLC34A1, RBIS, BLTP2, SLC22A12, CPSF1, UQCRHL, TSC2, QKI, TP53INP1, XIRP1, DMAC1, AP2S1, DBH, CUEDC2, METAP1D, LEAP2, TBL1X, DPCD, RNF5, LTC4S, BRS3, SCAMP5, TBCE, ZFYVE19, STAB1, PAN3, UQCRB, ERI3, DCAF8, NEDD8, IL17D, TACR1, GLIS1, LELP1, RPL36, ANAPC2, NOD1, PRR13, TMEM92, AQR, EPHB1, ANKUB1, DRGX, COMMD4, MAP4K2, CTPS2, CNBP, NPPC, H2BC3, PRRC2A, FRYL, GDPD5, MRPL28, SCN2B, CPSF3, ACO1, ARFGAP1, AKIP1, REC114, CD82, OAZ2, PTTG1, CDH6, HAT1, UBAP2L, TMEM213, MBTPS1, FETUB, TALDO1, HTRA3, CIAO2A, ZSWIM4, SLC27A4, SCUBE1, MACO1, RAP1B, SLC25A39, EDF1, BAALC, VIRMA, NUP214, FOXRED1, TRMT1, ATP6V1F, TLR2, COX4I2, RDH10, DTD2, BAX, DOCK5, NFIB, GADD45GIP1, CDKAL1, RPL11, EIF2D, DYNC1H1, NCAPH, ING2, GRINA, TMEM131, HAGHL, MVB12A	MSigDb_Dif_Expression
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_DN	Macrophages	MSigDb_Dif_Expression	ST7, UTP4, NEDD4L, LMLN, BRF1, KDSR, MPZL2, GABRA3, SH3PXD2B, GPN2, MTUS1, FNBP1, TMED8, LCMT2, SPZ1, APP, STEAP4, BTBD6, MSR1, ADAM28, UBE2D3, JAG1, UBE2V1, PKP3, SLC2A9, RETREG1, LANCL2, C1orf53, CD99L2, MKRN2, IL21R, PANX1, LRRC28, MAGEE1, RAP2A, ITPRID2, ESD, MDM2, DNMBP, RHD, SEZ6L2, SYT11, EDNRB, MMP12, TRAK2, PCGF6, PCBP2, POLR2M, AKTIP, PTGIR, RRP8, STXBP1, SFMBT1, BCL7C, PTGS1, SEMA4C, GASK1B, TAS1R2, ZCCHC3, SPA17, ASIC3, C5orf24, PSMD1, SLC38A1, AKAP3, SHB, TENT5C, B4GALT4, ARHGAP26, VMA21, NLRC3, ADGRG6, KIF12, GUSB, CDK6, BTBD3, RPL31, TBPL1, GDF10, MYH10, ZFPM1, MMP13, NCAPG2, KPNA4, PIP4K2B, DCBLD2, CDK18, ALG2, APBB1IP, MAN1A1, MID1IP1, RNGTT, ETS1, SLC25A23, SLAIN2, TRIM21, HOXB2, ABI2, CABLES2, STAMBPL1, DIPK2A, WTIP, PGM2, PABPC1, TGM1, ITGAL, SAP30, THAP12, CEP104, OVCA2, ZNF438, SLF2, PPTC7, CYP3A7, SPTB, FAT3, LRRC14, EHHADH, CD1D, AK1, UBASH3B, RCAN1, BCAP29, CD276, TBL1X, BEND4, TAOK2, SFN, PLEK, LAIR1, SEH1L, CYYR1, ERAP1, WTAP, IL1RN, MRM3, C3orf70, TIAM1, EXOC6B, MARCKSL1, SPX, PTPRA, NFATC2, INSIG2, RAB11A, ORC2, KPNA3, OPRM1, TSG101, SPRR3, RIOX1, KANSL1, SLC2A6, RNF14, SPRYD7, F13B, FAM78A, ELMOD3, DYNC2I2, ST8SIA3, ZMAT3, RPS6KA2, SLC25A12, SH3D19, ACTR1B, RHOH, PYGB, CCAR2, ACOT11, ITGA5, MFSD6, GLP1R, TUBG2, ICA1L, CCDC120, ADGRL1, DNAAF5, LYZL6, PRR5L, ST14, SLC30A4, CLPTM1, VWA8, CD34, RAPGEF5, CBX2, PCDHB16, GSTM3, TAF3, SPIRE1, CXCR3, ZBTB37, PRKG1, UBE2J1, RAB34, TTC7B, PHETA1, CAMKK1, VAV3, TMX4	MSigDb_Dif_Expression
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	Macrophages	MSigDb_Dif_Expression	ERH, TMCC1, RFC5, GEN1, MSH2, CKAP2, TRIAP1, PALB2, CCDC77, MTR, TNFSF10, CERKL, CD96, PMF1, KIAA0040, ITM2A, FANCF, DHDDS, EPDR1, MEAF6, PRDM8, PDE7A, APIP, NOL7, CDCA5, CALCRL, CBX5, POLE2, CDKN1C, FILIP1L, PIP4K2A, AKAIN1, SF3A3, STK39, MCU, PDHB, COG3, SKA2, TTC23L, MRNIP, PSMD9, VSIG10, CBR4, CENPM, PRKCA, DCK, ZNF619, TTK, FAF1, PTX4, SERPINE2, TGM6, ABRACL, KCNT2, SRSF9, CCDC51, CHTOP, ASPSCR1, EMC2, RACGAP1, POLD1, THOC7, PPA2, EML3, ARSB, SLC25A51, RPA2, OR10AD1, BUB1B, PDZK1IP1, XRCC2, CCDC62, PLXND1, FIGNL1, PIP5K1B, PRKAG2, PLK1, POLE, ATAD5, GLIPR1, MRPL39, IRAG2, TROAP, VMA21, RAD54L, TMEM18, OSTC, CMTM7, C2CD5, DCP2, PPIC, E2F7, CARMIL2, ZNF157, ARHGAP23, AFMID, EPHB6, COTL1, CD48, PPIH, SIX5, MRPL2, SPECC1L, TRAF5, SMC2, SLC5A3, BLVRA, PASK, XIAP, TRMT44, NCOA7, SIK1, LSM2, FOXM1, HEBP2, FANCG, PIGR, ZDHHC15, C1orf112, ORC6, PPP1R26, WDR90, SFTPA1, RIN3, ILK, TIPIN, MCM7, PSME1, CCL4, TICRR, SLF2, CCDC28B, PRIM1, GALNTL5, CDKN2AIPNL, C21orf91, TDP1, PTPA, CD1D, MRPL47, DIAPH3, FBLN1, KLK11, SSBP3, SOWAHC, ZFYVE19, TMEM109, RFC4, RFC1, MCOLN3, IFIH1, CKS1B, TBC1D31, E2F8, LITAF, RHBDD3, HEXIM2, C2orf69, RNF26, TPGS2, DZIP3, LRRC40, CD9, CSK, SERPINB9, UTP11, MUTYH, CDCA8, EME1, GINS4, NSUN4, ITPR1, MBTPS1, KLF4, SPAG5, GBP7, LPAR3, VRK1, THTPA, ATP2B1, PSMB4, TUBGCP2, SLAMF6, TANK, SUCO, LRP11, TRIM34, CENPJ, ANKRD27, CCDC14, MRPL50, BEX4, NFE2, FXN, KIF18A, ABHD1, CCDC61, ELL3, KIF20B	MSigDb_Dif_Expression
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_DN	Macrophages	MSigDb_Dif_Expression	TNFRSF1A, ZCCHC2, IL12RB1, ZUP1, CCDC50, PPP1R15A, RELB, PTGES, BCKDHB, LIPE, SHISA6, ISG15, ETNK1, DHH, RASA4, KREMEN1, TUT7, MOB1A, SMG7, DENND6B, TM2D1, ENG, PSMB9, ZC3H15, CALCRL, TUT4, CXCL1, USP25, FOXP1, MAP3K8, CCNJ, LCP2, CASP4, DCK, BBX, CPEB3, PSME4, MLKL, SCML4, SNW1, TPST1, PHF11, MAX, FAM53C, COX18, SOD2, TM9SF4, PTPRJ, SH3BP4, FAS, TEAD3, CYCS, NECTIN4, RIPK2, ARID5B, DUSP16, DEDD, TNFAIP3, MTDH, LRCH1, FBXO4, TPBG, NUDT13, PIWIL4, TLK2, CDC42EP2, PSMB8, MMP13, PLSCR1, HIVEP3, ZEB1, GGCT, PPP2R2A, STX11, MST1, B3GNT2, NFXL1, RMDN3, SP110, PRKCQ, UBTD2, TOX4, IFI16, USP12, RASGEF1B, NKX6-3, CASP1, ADAMDEC1, ATP10A, CRABP2, TNIP1, CEMIP2, CRLF3, HERC5, CRYBG1, HAP1, EIF2AK2, IL15, LLGL1, RAB38, SOWAHC, FGFR2, IL15RA, SVBP, ATOH1, MPPE1, MARCHF5, ARL4A, MXD1, BRI3, TYK2, IRF1, MARCKSL1, RGS9, PARP12, RGL1, INPP5B, TMEM171, PSMB10, SLC2A6, SHOC1, RNF14, DDX60, ZC3HAV1, TAGLN3, SLC28A2, MYBPC3, IFI35, PTTG1, NFKB1, PCGF5, PGS1, ITPR1, MARCKS, NAMPT, IL1RAP, TUBA8, AZI2, TBX15, HAND2, TENT4A, WDR37, GPR26, GOLGA3, DYRK2, ABTB2, CCDC25, CTRL, EP400, HSH2D, PLEKHA2, DBNL, ADHFE1, SNX10, SAMD9L, EN1, ACOT9, TMEM67, ELF1, OTUD5, CFLAR	MSigDb_Dif_Expression
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN	Macrophages	MSigDb_Dif_Expression	PDS5B, POU5F1P4, TSHZ3, SLC25A37, CSGALNACT2, IL1A, TNFRSF10D, NEDD4L, IRF2BPL, LDHA, HCFC1R1, ITGB1BP2, ETS2, TSPAN14, TBC1D10C, TNF, PGM1, GNB3, TMED8, SHISA5, PTPRC, CA3, TUT7, NUP153, TNFRSF4, POM121, TNNT1, CAVIN1, SGSH, NDRG3, CLN8, SLC25A16, TMEM45A, PLK3, SLAMF9, AFF1, PPP1R3B, SLC44A1, B3GALT6, SQLE, ESR2, TAB2, PIK3AP1, NME4, AMN1, FBXO2, CYB561D2, TPI1, PLA2G4A, NT5E, CXCL2, LCP2, SLC16A1-AS1, MRPS6, COL7A1, RAC2, AK4, SEMA4C, FCGR2A, TRPM2, TMEM187, RUSC2, PIK3C2A, PRR16, SRSF9, RAB24, CD109, LY6E, SLC11A2, SYNGR3, ENTPD1, SHB, SPP1, NACAD, NUP62, PGAM1, FNDC3B, ACAP1, MIR155HG, MIR21, TIMP1, SORCS2, UBA6, OLR1, PGK1, GSC, NCF2, EMP3, DGAT2, SLC44A2, RUBCNL, SLC5A3, KLF2, SELL, MAP3K13, CD63, TNFRSF18, PITPNM1, EVI2A, MLX, PPP2R5B, MIR23AHG, TEPP, ZC3H12A, MAP2K3, NUMB, CA2, TUSC3, SEC24A, DDIT4L, CD53, GPR84, CCL20, IL2RA, CCL5, CYB5R3, C15orf48, TMEM154, ITPR3, ZNF90, SLC25A53, CDC14C, PHLDA1, AATBC, FAM43A, VASP, CD99P1, PAQR5, SLC43A3, WNT5A, C18orf54, PFKFB3, EREG, NPDC1, MS4A4A, TAC1, RGCC, AGK, IL1RN, SSBP2, CXCL3, PPIF, EVI2B, EMP2, PKD2, VMP1, LYZ, TREM1, FCER1G, CYTIP, TNFRSF21, FXYD6, GALNT6, MAFK, OSBPL8, EMP1, CLEC2D, PTGS2, FLNB, FOS, SLCO4A1, GNG8, IL1B, ADPGK, LINC00205, IL36G, CXCL5, RFLNB, PIK3C2B, TMSB15B, RTTN, CXCL8, KLHDC7B, AIF1, TRIM25, OAZ1, RNF213-AS1, PTPRE, C12orf75, OSGIN2, ADGRE2, TLR2, PRRG1, KIF3A, SEMA4D, TUBA4A, CLDND1, PGAP1, SUN2, MAOA, TM4SF1, GBE1, FXYD2, ERRFI1, NPFFR1	MSigDb_Dif_Expression
GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	Macrophages	MSigDb_Dif_Expression	TNFRSF1A, MIS18A, FRRS1, BUB3, MYADM, CYP27A1, SLC38A2, DUSP1, KLC3, NFIX, WNT2, LTB, CCDC38, ADAM9, KIF3C, ARSK, GSTO1, DBN1, TNFRSF4, RFX5, RENBP, AQP9, TLL2, THSD4, HEXB, CEP250, C3orf85, CLIP2, DGKH, KCNK6, LYST, PRAM1, CSGALNACT1, IER5, SLC25A13, AFDN, LRRC66, RNF150, TLR1, EPHX3, STX12, PLXNB2, HTT, NFATC3, DEPTOR, PLEKHF1, AKNA, RIC8A, PHC2, IGBP1, METTL15, NCK2, RASSF4, P2RX5, IL18R1, MDH2, FAM149A, MBNL2, NDUFAF7, BAZ1A, CRIP1, MYO1F, SLC32A1, ANXA4, GPR88, RPS6KA5, SRRM4, NRROS, CDC5L, TRAP1, NACAD, CISH, RAB7A, CX3CR1, ERCC6L, RBMS1, POLE, SCTR, USP45, IRAG2, AHSA1, ATP6V1B2, PLEKHM1, FGF13, STX2, RGS19, CCR6, KRTAP17-1, NAAA, BPIFA1, PPFIBP2, FAM217B, CFL1, LRRC42, GPR132, DSTYK, SPICE1, TES, VAPB, ZFP30, TAX1BP3, GPX4, PRKAR2A, EIF4H, OCA2, FEM1C, PAK4, ARL2BP, KLRD1, RIN3, SEMA4A, RASGRP3, UMAD1, CCL4, PLEKHA5, MAPK12, MYCBP2, CYB5R3, HOOK2, TFDP1, FAM171A1, EXOC3L4, IL1R1, ZNF205, VASP, IL17B, IL15, DNAJC12, MIER2, MTMR6, SF3B2, SLC2A8, SCLT1, NOL12, NHLRC1, OSBPL3, FHOD1, C3orf70, MINK1, WDHD1, TRNAU1AP, DACT1, GDF2, TMEM50B, NFATC2, ST13, TRIM7, CFH, ITGA1, PIGF, WDFY2, SEPTIN12, RPL39L, TMCO4, ITGB2, CYRIB, RAB40C, ARPC2, PDLIM5, CERS5, SLC1A5, GARS1, USP17L2, PRELID1, MDFIC, LPAR3, TINF2, PYGB, NFAM1, DUSP22, EDEM1, HEPACAM2, LSR, FOXN2, RAB11FIP1, BBS12, CEP128, ISLR2, GPR26, DNAH8, TMEM238, ARHGAP22, CYSLTR1, NFE2, INTS10, ST8SIA2, TTC39B, NHSL2, ERLIN1, WFDC5, MCM5, SLC20A1, RAB30, GPR65, CPQ, SPI1, PHLPP1, MET, LCP1, PTPN13	MSigDb_Dif_Expression
GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_DN	Macrophages	MSigDb_Dif_Expression	GHDC, MYADM, ANXA11, IL3RA, IRF4, LRBA, NUCB1, MMP9, SH3PXD2B, LYZL4, HM13, LPCAT1, SMAD7, PDIA3, UROC1, NOL3, ST3GAL5, MCF2L, NCS1, C2orf88, RFX1, FLYWCH2, RHBDF1, PLAUR, CCK, FAM98C, LDLRAP1, IL21R, B3GALT6, SOCS6, GLCCI1, GEMIN5, ZYX, AMN1, TMEM178A, SYT11, RTN4RL1, RPS6KC1, SF3A2, IQCB1, MN1, SMDT1, ADAM15, STXBP1, TTL, DPYS, PTGS1, PPARG, RUSC2, POU6F2, TRAF3, P3H1, GPALPP1, RHOJ, ST3GAL1, DAB2IP, RYR1, RNF128, FAM86B2, CPNE2, DOCK2, CRACDL, DOT1L, LONRF3, UBE2F, PLBD1, ZNF219, RETSAT, TOM1L1, TRIP6, BLCAP, CNNM4, SPNS2, SOX9, FOXRED2, HGSNAT, SCO1, ARFIP2, PPP1R3C, SAV1, SUMO3, ABCC1, TRAF5, ORAI1, UBE2E3, OSBPL1A, SNAPC2, FBXO38, PDGFA, RNF41, CD163, SATB1, CNNM2, SLC1A3, ITGAX, PEX26, PSMG4, ZNF516, H1-10, SDC2, INTS9, KCNQ1, MBD2, BTRC, TSPAN13, CSF2RA, JUND, PLA2G7, CCL4, YWHAE, ZBED3, SPINT2, RSPO1, CCNQ, GCLM, GKN2, NFE2L2, WFS1, GPAT2, CDCP1, SLC12A5, MARCHF1, ARHGAP6, RPS6KA3, B3GLCT, PENK, PMEPA1, USPL1, ACYP2, ACOT1, IL18BP, MMP8, FAAP24, GNA15, NT5M, BCL7B, P3H3, BSG, E2F8, SRPRA, AHR, MYO1B, PSMB10, TBXA2R, CCND3, SIAH2, RNF14, RNF24, GOT1, MAFK, PFDN4, RNF126, FAM118A, DOK2, PATL2, DCSTAMP, CEP170B, RNF32, VARS1, SEL1L3, RIPOR1, MAP2K4, OXCT1, FGL2, LIMK1, CCL24, TMEM222, SIKE1, IFFO2, SPINT1, ACOT11, CDC42SE2, GET3, E2F3, PTPRE, ALKBH2, CLCA2, PTPN9, DNAJC27, NCDN, KCNS1, OSM, TMEM217, LGALS2, NAGPA, SLC12A4, RGS14, RTKN, LEMD2, CLDND1, CA7, RBM15B, CYP1B1, CYB5R2, YIF1B, CFAP54, FXYD2, MGMT, TTC7B, VWF	MSigDb_Dif_Expression
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN	Macrophages	MSigDb_Dif_Expression	SOCS3, ADAM17, GSAP, UAP1, DTX4, STAT5A, PHLDB1, DUSP1, HERPUD1, IL1A, RELB, SPATA13, ETS2, BCL3, ACSL1, KIAA0040, DNAJC21, IGSF6, PDE4DIP, RFX5, NR4A2, PIK3R5, CASS4, IER2, ESF1, MCL1, PLK2, DAPP1, GADD45B, CXCL1, CD14, FGR, DUSP5, BCL2A1, CCRL2, SLAMF7, GCH1, PDGFB, CXCL2, AK2, CCL17, MCOLN2, MAP3K8, NLRP3, ACOD1, HCK, CASP4, PTPN12, REST, PTGIR, PSPC1, EHD1, RNF19A, RBM22, CSRNP1, TRAF3, FAM177A1, GBP4, ST3GAL1, CEP350, NR4A1, SLC11A2, SOD2, EGR3, FAS, RAPGEF2, CISH, CXCL9, CX3CR1, N4BP1, PRDM1, AREG, TNFAIP2, NCK1, SKIL, CCL22, GLIPR1, UBE2F, CX3CL1, SAA1, DKKL1, BCOR, RBM7, PTPN3, FOXO1, FLRT3, PTPRO, FAM83E, SLC5A3, UBE2E3, GPR132, DCBLD2, HIVEP3, TNFSF9, SPIC, DDHD1, ATF7, TSPAN33, FNBP1L, LAMC2, FOXP4, PIM1, UBE2A, LCA5L, ZNF516, SEMA6D, SNHG3, SMU1, PNRC1, IL4I1, HDC, FBRS, CD69, ZFP36, CEBPB, GPR84, DPF2, RRAD, IER3, SRP54, TGIF1, EPOP, TNIP1, VASP, IFNAR1, NFE2L2, TIFA, SOWAHC, CSF2RB, CXCL16, RALGDS, IL1RN, ERBB2, BTG2, PTGER4, DCUN1D5, MARCKSL1, IRF1, ARID2, NIBAN3, IFRD1, ARHGAP31, SLC35D3, KPNA3, TAGAP, RAB20, CD86, SLC2A6, GFPT1, SPIB, ADORA2B, IL6, SERPINB9, EBAG9, CD83, SMS, NR4A3, ZFP36L1, KDR, DUSP2, NAB1, SAMD4B, TNFAIP8L1, CD40, TRAF1, MAFF, AEBP2, PLEKHO2, NFKBIE, UBXN2A, ITGA5, HTR7, ICAM1, SAMSN1, HVCN1, ARG2, HLA-B, CXCL10, DYRK2, ZC3H12C, NFKBIZ, LTA, OSM, CDKN1A, TLR2, RBBP8, MYL4, NFKB2, JUNB, KDM6B, GPR65, GDF15, IL12B, PSTPIP2, EIF6, TAMALIN, RELA, ERRFI1, CFLAR, IL2RG	MSigDb_Dif_Expression
